date,title,text,source,url,ticker,publisher,query,article_length,word_count,collection_date,finbert_label,finbert_score,finbert_sentiment,vader_compound,vader_label,textblob_polarity,textblob_label,date_only
2026-01-18 12:19:48,American Express Company $AXP Shares Acquired by Nations Financial Group Inc. IA ADV - MarketBeat,American Express Company $AXP Shares Acquired by Nations Financial Group Inc. IA ADV&nbsp;&nbsp;MarketBeat,Google News,https://news.google.com/rss/articles/CBMi2wFBVV95cUxOc0RtWnVJa2lEMFRJSXZRbVkwV1FIakpuNjBqUlE4c0dES2dIR3BxWENCd1NzdkQtZjhLRUpJY0ZzUDdFNHFVSnNxQmw5RE90aVpkcU1LWXFSNjN3S2doNlZUVmRxNVdGZjA0MndFVlVxN0dMX1gxQ3I0RmludTA2WWMwd3FtMWNzcXNGaVh6bVc3VnlzUlZjWHpyN2ZBM2MwNnY0eWc0QWVCRDNPQ2RWY1lpc3BiUElpYzlYVDltRi0tbi1tdlBHaHBwYm45OXNCdHdOYTRpd013eDQ?oc=5,AXP,,AXP stock news,106,13,2026-01-18 18:10:41.105671,positive,0.296,0.296,0.296,positive,0.0,neutral,2026-01-18
2026-01-18 12:15:12,Apple stock price slips to $255 ahead of a holiday-shortened week — AAPL earnings are the next test - TechStock²,Apple stock price slips to $255 ahead of a holiday-shortened week — AAPL earnings are the next test&nbsp;&nbsp;TechStock²,Google News,https://news.google.com/rss/articles/CBMiuAFBVV95cUxQODJZMVExWFJXSFpxWUN3S3ZBQ0VyeUVFVncxVHBweEhyRjVHemxUcmIxWEdIX3RmWDZRWnVaZW4yTThpdklMT3BVUUlEVUtIZGZOeUJyMWRGSk9rQVNwNTNmLTQ0elQ2MHp4ZV9uaWMxVUpKNVhvNUdYYlhzUEZWdFVWTlBOTFNFYnBybG83RFJscG1RTVBNeDZzaDVsY1dhR25paXlVSW43OVRCT01MTERNZHRzbk5F?oc=5,AAPL,,AAPL stock news,121,18,2026-01-18 18:10:41.105671,neutral,0.0,0.0,0.0,neutral,0.0,neutral,2026-01-18
2026-01-18 12:00:26,Amgen Inc. (NASDAQ:AMGN) is largely controlled by institutional shareholders who own 80% of the company - Yahoo Finance,Amgen Inc. (NASDAQ:AMGN) is largely controlled by institutional shareholders who own 80% of the company&nbsp;&nbsp;Yahoo Finance,Google News,https://news.google.com/rss/articles/CBMigAFBVV95cUxPVkp3RkpfNks1WVRSOXRfRXZ1X0QtdFU0c1k1NktZbmUwU1RGZE1rZXhDMXJqVURhaURmcGpnV0YwTjRJczY0Q0luRE5uSWJJR3M1YzBLNWhKbGxXUHppWDY5QkE4OVZJRjI3al9ZaXhGWnpfNUFHOXU0eThPOEQ1dQ?oc=5,AMGN,,AMGN stock news,128,16,2026-01-18 18:10:41.105671,neutral,0.0,0.0,0.0,neutral,0.40714285714285714,positive,2026-01-18
2026-01-18 11:43:58,BAC Stock Gains On Bullish Q4 Print Guides For Mid-Single Digit NII Growth In FY26 - Menafn,BAC Stock Gains On Bullish Q4 Print Guides For Mid-Single Digit NII Growth In FY26&nbsp;&nbsp;Menafn,Google News,https://news.google.com/rss/articles/CBMisgFBVV95cUxQcmhhU3d4cE9tb21hLUlBMktzdVdpZ25SZlNaUlZWbG5HSmN0Y3ZMcEdzZ19zQjdTbmVZenFWb2dOZHFkNlZrRU1nbDNIb3Y4TmxoRjk3UmU0ZXJ4cTlUdmFpYTgteWEwWDNUUnhQT2licm5hTEw4VmdGWE9raFBhUEhROWY2WlNJNTk2bGFJMUtWZThNVkVNYkhSbkZFUG5oUUdwemY2NmtLQ2hoNFowZHFB?oc=5,BAC,,BAC stock news,100,15,2026-01-18 18:10:41.105671,positive,0.6124,0.6124,0.6124,positive,0.0,neutral,2026-01-18
2026-01-18 11:26:14,Strong Analyst Confidence in Alibaba Group Holding (BABA) Amid AI and Cloud Momentum - Finviz,Strong Analyst Confidence in Alibaba Group Holding (BABA) Amid AI and Cloud Momentum&nbsp;&nbsp;Finviz,Google News,https://news.google.com/rss/articles/CBMiswFBVV95cUxNNDJaZFJNNGQ1X2hWY0dyZTdfZnJFMmxfcFUtbkU3ck0zUmtReHcwRWRnTW9yd2RpMVpZVkpmYjVwNHdTZmdKT3dNc2x1bkpscFI3TkVxNGZqWl9SSlBPY2Ytem5QRzVkRGVKd3Z0QTFna0JkSlB3a1pqNWtpLXZheERybW0xb0h1MEtaeU5GUGp2NWF4Z1J4MG9JVC00TldxTUZaS2hvZkUyM29LcF9jbWd0TQ?oc=5,BABA,,BABA stock news,102,13,2026-01-18 18:10:41.105671,positive,0.765,0.765,0.765,positive,0.43333333333333335,positive,2026-01-18
2026-01-18 06:02:38,Abbott Laboratories (ABT) Positioned to Benefit as Healthcare Sector Enters Recovery Phase - Finviz,Abbott Laboratories (ABT) Positioned to Benefit as Healthcare Sector Enters Recovery Phase&nbsp;&nbsp;Finviz,Google News,https://news.google.com/rss/articles/CBMiuwFBVV95cUxNc0ZQV2ZYMklYcWdaY2hTUThWejR1U181U3YwUEJiM3Y0cjJqUExLZmlySlVrTHY1QjZ0SHpjUFVNRnNRa3JuSkptRlJ0UUdkVnJvV2JHSGlUbVNHQ2lJYWFZcFhINEhXUFZpQkIzOU5HQ2YwTnVWZUNsbmhsNV9paFhjeWxaWHV6eDRQSDdXWHB4N01INi16MDF3UXc4dTFCWkt2Nll5WHZna0ptaWN6YTRlTTFROE1hYlI0?oc=5,ABT,,ABT stock news,108,12,2026-01-18 18:10:41.105671,positive,0.4588,0.4588,0.4588,positive,0.0,neutral,2026-01-18
2026-01-17 23:07:57,AMD stock price rises into long weekend as $311 million data-center lease puts AI demand in focus - TechStock²,AMD stock price rises into long weekend as $311 million data-center lease puts AI demand in focus&nbsp;&nbsp;TechStock²,Google News,https://news.google.com/rss/articles/CBMiuAFBVV95cUxOdVNKdlJuTWdEYndwQmlsaHlDT0I2Zk1BamdwRzNsaWZSNzZLUVRlSnVWTkdUMkVoenc1RjRZY0EyenJRNEd5UWxhS3cxZDY2d0h3WmdXWjJ6bVVXcXdiMkt0a2VVYWt6WERtRVR2dHBKaW5sQXR1ZHptYmg3T3dvYlUxbEhHMU41NndnSldvV3U2NFlFbFZQYk5mSFd3TDhmM054d1VMOC0wbENxMFRjQVVGZDlVaVFP?oc=5,AMD,,AMD stock news,119,17,2026-01-18 18:10:41.105671,negative,0.128,-0.128,-0.128,negative,-0.05,negative,2026-01-17
2026-01-17 20:35:31,American Express (AXP) stock price rises ahead of rate-cap week — what investors watch next - TechStock²,American Express (AXP) stock price rises ahead of rate-cap week — what investors watch next&nbsp;&nbsp;TechStock²,Google News,https://news.google.com/rss/articles/CBMirAFBVV95cUxOVkhvN2dBczM3UkZGYzdJSXBrUzJZNnJCcnhROWVWNWg2NGQwVnFpMmRoN3ZKaExTYndDd1ozRHotVVdKUGZkbEJKM2JzMDB6UDhRLXdjOUtKTXNiS1lPSEJEODBPbzA2Z09ibEZ2eWQ3SUphZTBSSF9fMlY3dWVkOU5udkV0ZXBaOER5N3BxX1pER3JqcF8tMnZQQk84TWRHUk4xdEFRMGZ5a004?oc=5,AXP,,AXP stock news,113,15,2026-01-18 18:10:41.105671,neutral,0.0,0.0,0.0,neutral,0.0,neutral,2026-01-17
2026-01-17 15:00:21,The Goldman Sachs Group Has Lowered Expectations for American Tower (NYSE:AMT) Stock Price - MarketBeat,The Goldman Sachs Group Has Lowered Expectations for American Tower (NYSE:AMT) Stock Price&nbsp;&nbsp;MarketBeat,Google News,https://news.google.com/rss/articles/CBMi2AFBVV95cUxONWRIbU8zWlEyNUZ0MnU4ak9XUHctWm52MHFRM2diQ3RBWlJDWTlWaS1SWDN2cnNTbURfaF9jYzBmSUgwelhNaFYteVN4eWo5OTZMWW1oTko1WE5zSGhHYmUxN090UWhCYzB3NENHOTVfbkp0VEE1enF5NlhvNG9BeGRpdk1fOGV5S2c5SS1nTUhnZFJDTWZBQXFLSDIzREtxLVRnb1BtN1hBOG1mQUpseWJxRndjSVNtSHRDREtnaTFZclZ4TWJsUWJsNGNjc1E2SmFQQnNXTTg?oc=5,AMT,,AMT stock news,112,13,2026-01-18 18:10:41.105671,negative,0.128,-0.128,-0.128,negative,0.0,neutral,2026-01-17
2026-01-17 14:02:00,Accenture Stock (ACN) Opinions on AI Revenue Surge and Digital Identity Partnership - Quiver Quantitative,Accenture Stock (ACN) Opinions on AI Revenue Surge and Digital Identity Partnership&nbsp;&nbsp;Quiver Quantitative,Google News,https://news.google.com/rss/articles/CBMivAFBVV95cUxOODJyWGpEYzNEcTJ4aWdEeFY3QXl5d2xHdDFLSkxhaGh2ZHNnNDYweS13ZW5Td09tUDB3di03N0x2bFQxNG9ZSkpKdXFpeU9LcjJPYWpQWXc2bEhrdExNYWw3VlFCbVhodWFMUHlhcFhKdm9XQy1pMWV1TkdnU3pSQ2R2UjMtRlZza1F1ajh4MWNZOHNlTE50ZzhhQ0haZGJ4RThnX1R4YVp0TURfSEduUkhHMmJRb2t2aTRXeQ?oc=5,ACN,,ACN stock news,114,13,2026-01-18 18:10:41.105671,neutral,0.0,0.0,0.0,neutral,0.0,neutral,2026-01-17
